anl_id,anl_machine,anl_file_md5,anl_file_name,name,anl_score,anl_duration,anl_network_udp,anl_network_tcp,anl_network_dns,anl_signatures_sv1,anl_signatures_sv2,anl_signatures_sv3,anl_signatures_sv4,anl_signatures_sv5,anl_signatures_sv6,anl_file_created,anl_regkey_written,anl_dll_loaded,anl_file_failed,anl_resolves_host,anl_file_written,anl_fetches_url,anl_regkey_read
4,cuckoo-w7-01,05ae85617d43e5ce1a1930be837136eb,ransom_win32_genasom-77-win32_exe-undefined-05ae85617d43e5ce1a1930be837136eb-rotorcrypt.exe, ,6.6,146,44,11,9,2,4,1,0,0,2,0,4,2,7,0,0,0,511
158,cuckoo-w7-maldome-opened,05ae85617d43e5ce1a1930be837136eb,ransom_win32_genasom-77-win32_exe-undefined-05ae85617d43e5ce1a1930be837136eb-rotorcrypt.exe,rotorcrypt,15.2,68,19,1,2,4,11,8,3,0,1,56,7,37,1625,0,297,9,2834
2,cuckoo-w7-vmcloak,05ae85617d43e5ce1a1930be837136eb,ransom_win32_genasom-77-win32_exe-undefined-05ae85617d43e5ce1a1930be837136eb-rotorcrypt.exe,rotorcrypt,13.2,191,16,5,6,3,14,7,2,0,1,31,66,35,1088,0,219,6,3045
156,cuckoo-w7-opened,05ae85617d43e5ce1a1930be837136eb,ransom_win32_genasom-77-win32_exe-undefined-05ae85617d43e5ce1a1930be837136eb-rotorcrypt.exe,rotorcrypt,15.8,191,19,0,2,4,14,11,2,0,1,44,7,35,1574,0,263,6,2826
11,cuckoo-w7-01,0fd6c923edc283fb034f12557bd7719d,blackenergy-9e9a6f1d046e0f5da10aa0e18bba248df4f818d342ed359c35fdb000f1354819.exe,rootkit,4.6,135,28,10,9,1,2,4,0,0,1,0,9,4,0,0,0,1,12
165,cuckoo-w7-maldome-opened,0fd6c923edc283fb034f12557bd7719d,blackenergy-9e9a6f1d046e0f5da10aa0e18bba248df4f818d342ed359c35fdb000f1354819.exe,rootkit,3.6,130,14,1,2,1,1,3,0,0,1,0,10,4,0,0,0,1,12
15,cuckoo-w7-vmcloak,0fd6c923edc283fb034f12557bd7719d,blackenergy-9e9a6f1d046e0f5da10aa0e18bba248df4f818d342ed359c35fdb000f1354819.exe,rootkit,5.6,133,15,5,6,2,2,3,0,0,1,0,10,7,0,0,0,1,12
169,cuckoo-w7-opened,0fd6c923edc283fb034f12557bd7719d,blackenergy-9e9a6f1d046e0f5da10aa0e18bba248df4f818d342ed359c35fdb000f1354819.exe,rootkit,3.8,134,16,0,2,2,1,3,0,0,1,0,10,6,0,0,0,1,12
13,cuckoo-w7-01,1080e27b83c37dfeaa0daaa619bdf478,backdoor_win32_havex_b_dha-68-win32_exe-undefined-1080e27b83c37dfeaa0daaa619bdf478.exe,havex,8.4,141,22,10,9,2,8,6,0,0,1,12,3,24,2,0,8,0,2309
167,cuckoo-w7-maldome-opened,1080e27b83c37dfeaa0daaa619bdf478,backdoor_win32_havex_b_dha-68-win32_exe-undefined-1080e27b83c37dfeaa0daaa619bdf478.exe,havex,9.8,132,14,1,2,3,11,6,0,0,1,22,7,29,12,0,18,3,2374
14,cuckoo-w7-vmcloak,1080e27b83c37dfeaa0daaa619bdf478,backdoor_win32_havex_b_dha-68-win32_exe-undefined-1080e27b83c37dfeaa0daaa619bdf478.exe,havex,10,135,17,5,7,4,11,6,0,0,1,21,7,31,11,0,17,3,2387
168,cuckoo-w7-opened,1080e27b83c37dfeaa0daaa619bdf478,backdoor_win32_havex_b_dha-68-win32_exe-undefined-1080e27b83c37dfeaa0daaa619bdf478.exe,havex,9.6,137,15,0,2,4,10,6,0,0,1,21,7,30,12,0,17,3,2368
15,cuckoo-w7-01,1a8346183370f00752f4c490022bfd47,blackenergy-c30c29aed5295d4e73d88a93a1fc618262696609e186baa3713bdac869ae3073.exe,avkiller,3,18,14,5,5,2,2,1,0,0,1,0,0,0,0,0,0,0,0
169,cuckoo-w7-maldome-opened,1a8346183370f00752f4c490022bfd47,blackenergy-c30c29aed5295d4e73d88a93a1fc618262696609e186baa3713bdac869ae3073.exe,avkiller,2.4,15,10,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0
4,cuckoo-w7-vmcloak,1a8346183370f00752f4c490022bfd47,blackenergy-c30c29aed5295d4e73d88a93a1fc618262696609e186baa3713bdac869ae3073.exe,avkiller,2.4,19,13,1,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0
158,cuckoo-w7-opened,1a8346183370f00752f4c490022bfd47,blackenergy-c30c29aed5295d4e73d88a93a1fc618262696609e186baa3713bdac869ae3073.exe,avkiller,2.4,19,13,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0
7,cuckoo-w7-01,27bf2be2bc10ae62470252ab73e17405,virus_vbs_loveletter_dm-73-text-undefined-27bf2be2bc10ae62470252ab73e17405.vbs,loveletter,7.2,134,21,10,8,1,4,7,0,0,1,2,4,8,636,0,1578,0,42
161,cuckoo-w7-maldome-opened,27bf2be2bc10ae62470252ab73e17405,virus_vbs_loveletter_dm-73-text-undefined-27bf2be2bc10ae62470252ab73e17405.vbs,loveletter,7.6,139,14,1,2,0,4,8,0,0,1,4,4,8,1541,0,576,0,42
12,cuckoo-w7-vmcloak,27bf2be2bc10ae62470252ab73e17405,virus_vbs_loveletter_dm-73-text-undefined-27bf2be2bc10ae62470252ab73e17405.vbs,loveletter,5,145,17,5,7,1,3,4,0,0,1,1,4,11,222,0,10,0,49
166,cuckoo-w7-opened,27bf2be2bc10ae62470252ab73e17405,virus_vbs_loveletter_dm-73-text-undefined-27bf2be2bc10ae62470252ab73e17405.vbs,loveletter,7,137,17,0,2,0,4,7,0,0,1,1,4,8,578,0,143,0,42
17,cuckoo-w7-01,348734caac5830669dbeb06ac854fa6d,sobig-5a12476cf4665ef7ff5ddcb22645917b8341b3f3258795a73797f00c8936932e.exe,sobig,4.4,135,42,10,11,3,2,3,0,0,1,1,2,4,0,2,0,1,6
171,cuckoo-w7-maldome-opened,348734caac5830669dbeb06ac854fa6d,sobig-5a12476cf4665ef7ff5ddcb22645917b8341b3f3258795a73797f00c8936932e.exe,sobig,4.8,130,31,1,4,3,1,3,1,0,1,1,2,4,0,2,0,1,6
16,cuckoo-w7-vmcloak,348734caac5830669dbeb06ac854fa6d,sobig-5a12476cf4665ef7ff5ddcb22645917b8341b3f3258795a73797f00c8936932e.exe,sobig,6.2,133,32,5,8,3,2,3,1,1,1,1,2,4,0,2,0,1,6
170,cuckoo-w7-opened,348734caac5830669dbeb06ac854fa6d,sobig-5a12476cf4665ef7ff5ddcb22645917b8341b3f3258795a73797f00c8936932e.exe,sobig,3.4,135,35,0,5,3,1,2,0,0,1,1,2,4,0,2,0,1,6
18,cuckoo-w7-01,3d34b5e5dd5b3e3876253b153f6d2308,ransom_win32_wannacrypt_h-90-win32_exe-undefined-3d34b5e5dd5b3e3876253b153f6d2308.exe,wannacry,6.6,19,16,10,6,2,6,2,0,0,1,1,6,12,1,1,1,1,15
172,cuckoo-w7-maldome-opened,3d34b5e5dd5b3e3876253b153f6d2308,ransom_win32_wannacrypt_h-90-win32_exe-undefined-3d34b5e5dd5b3e3876253b153f6d2308.exe,wannacry,6.4,14,14,2,2,2,7,2,1,0,1,1,6,18,1,1,1,0,25
17,cuckoo-w7-vmcloak,3d34b5e5dd5b3e3876253b153f6d2308,ransom_win32_wannacrypt_h-90-win32_exe-undefined-3d34b5e5dd5b3e3876253b153f6d2308.exe,wannacry,6,17,16,3,6,2,6,2,1,0,1,1,6,10,1,1,1,1,14
171,cuckoo-w7-opened,3d34b5e5dd5b3e3876253b153f6d2308,ransom_win32_wannacrypt_h-90-win32_exe-undefined-3d34b5e5dd5b3e3876253b153f6d2308.exe,wannacry,4.8,17,15,0,2,2,5,2,0,0,1,1,6,18,1,1,1,0,25
6,cuckoo-w7-01,4415c3139e667b4a648ed92b12283446,worm_win32_flame_gen_b-73-win32_exe-undefined-4415c3139e667b4a648ed92b12283446-exec_show_baixou_varios_artf.exe,flame,3.6,18,14,8,5,2,2,2,0,0,1,7,0,19,0,0,6,2,109
160,cuckoo-w7-maldome-opened,4415c3139e667b4a648ed92b12283446,worm_win32_flame_gen_b-73-win32_exe-undefined-4415c3139e667b4a648ed92b12283446-exec_show_baixou_varios_artf.exe,flame,3,16,11,0,1,2,2,1,0,0,1,7,0,19,0,0,6,2,51
18,cuckoo-w7-vmcloak,4415c3139e667b4a648ed92b12283446,worm_win32_flame_gen_b-73-win32_exe-undefined-4415c3139e667b4a648ed92b12283446-exec_show_baixou_varios_artf.exe,flame,3.2,20,14,1,5,3,2,1,0,0,1,7,0,22,0,0,6,2,51
172,cuckoo-w7-opened,4415c3139e667b4a648ed92b12283446,worm_win32_flame_gen_b-73-win32_exe-undefined-4415c3139e667b4a648ed92b12283446-exec_show_baixou_varios_artf.exe,flame,3.2,44,13,0,2,3,2,1,0,0,1,7,0,20,0,0,6,2,52
16,cuckoo-w7-01,61ffa9aae03904805b66f0eb957f8b45,trojanproxy_win32_sefbov_e-78-win32_exe-aysvs.exe-61ffa9aae03904805b66f0eb957f8b45.exe,downloader,6.8,136,24,10,11,2,5,3,0,1,0,0,0,11,0,2,0,0,3
170,cuckoo-w7-maldome-opened,61ffa9aae03904805b66f0eb957f8b45,trojanproxy_win32_sefbov_e-78-win32_exe-aysvs.exe-61ffa9aae03904805b66f0eb957f8b45.exe,downloader,6.4,134,16,1,4,2,4,3,0,1,0,0,0,11,0,2,0,0,3
11,cuckoo-w7-vmcloak,61ffa9aae03904805b66f0eb957f8b45,trojanproxy_win32_sefbov_e-78-win32_exe-aysvs.exe-61ffa9aae03904805b66f0eb957f8b45.exe,downloader,6.8,134,17,5,8,2,5,3,0,1,0,0,0,11,0,2,0,0,3
165,cuckoo-w7-opened,61ffa9aae03904805b66f0eb957f8b45,trojanproxy_win32_sefbov_e-78-win32_exe-aysvs.exe-61ffa9aae03904805b66f0eb957f8b45.exe,downloader,6.4,135,21,0,4,2,4,3,0,1,0,0,0,11,0,2,0,0,3
3,cuckoo-w7-01,65cb62b8d5a76e97a0283af40f42fe4d,worm_win32_mydoom-92-win32_exe-undefined-65cb62b8d5a76e97a0283af40f42fe4d.exe,mydoom,9.6,140,54,63,30,3,6,5,1,0,1,28,7,19,1,18,26,0,102
157,cuckoo-w7-maldome-opened,65cb62b8d5a76e97a0283af40f42fe4d,worm_win32_mydoom-92-win32_exe-undefined-65cb62b8d5a76e97a0283af40f42fe4d.exe,mydoom,7,132,22,1,4,2,3,3,1,0,1,2,7,18,1,1,1,0,23
7,cuckoo-w7-vmcloak,65cb62b8d5a76e97a0283af40f42fe4d,worm_win32_mydoom-92-win32_exe-undefined-65cb62b8d5a76e97a0283af40f42fe4d.exe,mydoom,8.2,138,23,8,10,2,6,3,1,0,1,4,7,19,1,4,3,0,102
161,cuckoo-w7-opened,65cb62b8d5a76e97a0283af40f42fe4d,worm_win32_mydoom-92-win32_exe-undefined-65cb62b8d5a76e97a0283af40f42fe4d.exe,mydoom,7.4,135,37,1,11,2,4,3,1,0,1,2,7,19,1,5,1,0,102
1,cuckoo-w7-01,79d4c5d2c596b6e69dfc68390d1d5233,win32_generic_495801-86-win32_exe-undefined-79d4c5d2c596b6e69dfc68390d1d5233-sobig.exe,sobig,3.4,20,15,8,5,3,1,2,0,0,1,0,0,4,0,0,0,1,10
155,cuckoo-w7-maldome-opened,79d4c5d2c596b6e69dfc68390d1d5233,win32_generic_495801-86-win32_exe-undefined-79d4c5d2c596b6e69dfc68390d1d5233-sobig.exe,sobig,2.8,14,11,0,1,3,1,1,0,0,1,0,0,4,0,0,0,1,10
1,cuckoo-w7-vmcloak,79d4c5d2c596b6e69dfc68390d1d5233,win32_generic_495801-86-win32_exe-undefined-79d4c5d2c596b6e69dfc68390d1d5233-sobig.exe,sobig,2.8,16,12,1,4,3,1,1,0,0,1,0,0,4,0,0,0,1,8
155,cuckoo-w7-opened,79d4c5d2c596b6e69dfc68390d1d5233,win32_generic_495801-86-win32_exe-undefined-79d4c5d2c596b6e69dfc68390d1d5233-sobig.exe,sobig,2.8,18,12,0,1,3,1,1,0,0,1,0,0,4,0,0,0,1,10
14,cuckoo-w7-01,84c82835a5d21bbcf75a61706d8ab549,ransom_win32_wannacrypt-90-win32_exe-diskpart.exe-84c82835a5d21bbcf75a61706d8ab549.exe,wannacryptor,23.2,151,22,16,9,8,22,11,0,1,3,2492,8,60,51,0,1018,4,3035
168,cuckoo-w7-maldome-opened,84c82835a5d21bbcf75a61706d8ab549,ransom_win32_wannacrypt-90-win32_exe-diskpart.exe-84c82835a5d21bbcf75a61706d8ab549.exe,wannacryptor,22.6,177,14,7,2,7,21,10,1,1,3,1252,5,60,38,0,649,12,2852
6,cuckoo-w7-vmcloak,84c82835a5d21bbcf75a61706d8ab549,ransom_win32_wannacrypt-90-win32_exe-diskpart.exe-84c82835a5d21bbcf75a61706d8ab549.exe,wannacryptor,21.2,195,17,9,7,8,21,10,0,0,3,1285,104,60,37,0,610,13,3223
160,cuckoo-w7-opened,84c82835a5d21bbcf75a61706d8ab549,ransom_win32_wannacrypt-90-win32_exe-diskpart.exe-84c82835a5d21bbcf75a61706d8ab549.exe,wannacryptor,20.6,195,19,8,2,8,20,11,1,0,3,1238,5,62,37,0,639,13,2770
8,cuckoo-w7-01,a92f13f3a1b3b39833d3cc336301b713,ransom_win32_petya-82-win32_exe-undefined-a92f13f3a1b3b39833d3cc336301b713.exe,petya,4,199,22,9,5,0,4,2,0,0,1,0,0,3,0,0,1,0,0
162,cuckoo-w7-maldome-opened,a92f13f3a1b3b39833d3cc336301b713,ransom_win32_petya-82-win32_exe-undefined-a92f13f3a1b3b39833d3cc336301b713.exe,petya,3,191,14,1,2,0,3,1,0,0,1,0,0,3,0,0,1,0,0
10,cuckoo-w7-vmcloak,a92f13f3a1b3b39833d3cc336301b713,ransom_win32_petya-82-win32_exe-undefined-a92f13f3a1b3b39833d3cc336301b713.exe,petya,3,193,15,1,5,0,3,1,0,0,1,0,0,3,0,0,1,0,0
164,cuckoo-w7-opened,a92f13f3a1b3b39833d3cc336301b713,ransom_win32_petya-82-win32_exe-undefined-a92f13f3a1b3b39833d3cc336301b713.exe,petya,3,195,16,0,2,0,3,1,0,0,1,0,0,3,0,0,1,0,0
9,cuckoo-w7-01,af2379cc4d607a45ac44d62135fb7015,ransom_win32_petya_a-89-win32_exe-undefined-af2379cc4d607a45ac44d62135fb7015.exe,petya,4.2,195,17,9,5,1,4,2,0,0,1,0,0,3,0,0,1,0,0
163,cuckoo-w7-maldome-opened,af2379cc4d607a45ac44d62135fb7015,ransom_win32_petya_a-89-win32_exe-undefined-af2379cc4d607a45ac44d62135fb7015.exe,petya,3.2,193,12,0,1,1,3,1,0,0,1,0,0,3,0,0,1,0,0
13,cuckoo-w7-vmcloak,af2379cc4d607a45ac44d62135fb7015,ransom_win32_petya_a-89-win32_exe-undefined-af2379cc4d607a45ac44d62135fb7015.exe,petya,3.2,194,13,1,4,1,3,1,0,0,1,0,0,3,0,0,1,0,0
167,cuckoo-w7-opened,af2379cc4d607a45ac44d62135fb7015,ransom_win32_petya_a-89-win32_exe-undefined-af2379cc4d607a45ac44d62135fb7015.exe,petya,3.2,197,14,0,2,1,3,1,0,0,1,0,0,3,0,0,1,0,0
2,cuckoo-w7-01,c1831baa5505f5a557380e0ab3f60f48,trojan_win32_bootcorrupt_a_dha-81-win32_exe-undefined-c1831baa5505f5a557380e0ab3f60f48-killdisk.exe,killdisk,5.8,195,15,8,5,2,6,3,0,0,1,4,0,23,3,0,3,0,2260
156,cuckoo-w7-maldome-opened,c1831baa5505f5a557380e0ab3f60f48,trojan_win32_bootcorrupt_a_dha-81-win32_exe-undefined-c1831baa5505f5a557380e0ab3f60f48-killdisk.exe,killdisk,5.2,189,16,1,2,2,6,2,0,0,1,4,0,23,2,0,3,0,2247
9,cuckoo-w7-vmcloak,c1831baa5505f5a557380e0ab3f60f48,trojan_win32_bootcorrupt_a_dha-81-win32_exe-undefined-c1831baa5505f5a557380e0ab3f60f48-killdisk.exe,killdisk,5.2,192,13,1,4,2,6,2,0,0,1,4,0,24,2,0,3,0,2241
163,cuckoo-w7-opened,c1831baa5505f5a557380e0ab3f60f48,trojan_win32_bootcorrupt_a_dha-81-win32_exe-undefined-c1831baa5505f5a557380e0ab3f60f48-killdisk.exe,killdisk,7.2,194,17,0,2,2,6,3,0,0,1,4,0,23,3,0,3,0,2226
10,cuckoo-w7-01,c1e5095bb13471b57c5576f32190f025,vpnfilter-library.zip,undefined,0.6,24,14,8,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,cuckoo-w7-maldome-opened,c1e5095bb13471b57c5576f32190f025,vpnfilter-library.zip,undefined,0,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,cuckoo-w7-vmcloak,c1e5095bb13471b57c5576f32190f025,vpnfilter-library.zip,undefined,0.6,17,12,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
162,cuckoo-w7-opened,c1e5095bb13471b57c5576f32190f025,vpnfilter-library.zip,undefined,0,18,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,cuckoo-w7-01,c681692b77ea845d069eb4e998a014e2,worm_win32_sobig_f_mm-95-unknown-undefined-c681692b77ea845d069eb4e998a014e2.exe,sobig,5.2,135,42,10,11,3,2,3,1,0,1,1,2,4,0,2,0,1,6
159,cuckoo-w7-maldome-opened,c681692b77ea845d069eb4e998a014e2,worm_win32_sobig_f_mm-95-unknown-undefined-c681692b77ea845d069eb4e998a014e2.exe,sobig,4.8,136,30,1,5,3,1,3,1,0,1,1,2,4,0,2,0,1,6
5,cuckoo-w7-vmcloak,c681692b77ea845d069eb4e998a014e2,worm_win32_sobig_f_mm-95-unknown-undefined-c681692b77ea845d069eb4e998a014e2.exe,sobig,5.2,133,33,5,8,3,2,3,1,0,1,1,2,4,0,2,0,1,6
159,cuckoo-w7-opened,c681692b77ea845d069eb4e998a014e2,worm_win32_sobig_f_mm-95-unknown-undefined-c681692b77ea845d069eb4e998a014e2.exe,sobig,3.4,135,35,0,5,3,1,2,0,0,1,1,2,4,0,2,0,1,6
12,cuckoo-w7-01,d3a8b3dcde44b81c0e69cc2a8a36e844,worm_win32_sobig_e_mm-88-win32_exe-undefined-d3a8b3dcde44b81c0e69cc2a8a36e844.exe,sobig,5.2,136,26,10,10,3,2,3,1,0,1,1,2,4,0,3,0,1,6
166,cuckoo-w7-maldome-opened,d3a8b3dcde44b81c0e69cc2a8a36e844,worm_win32_sobig_e_mm-88-win32_exe-undefined-d3a8b3dcde44b81c0e69cc2a8a36e844.exe,sobig,4.8,132,21,1,4,3,1,3,1,0,1,1,2,4,0,2,0,1,6
3,cuckoo-w7-vmcloak,d3a8b3dcde44b81c0e69cc2a8a36e844,worm_win32_sobig_e_mm-88-win32_exe-undefined-d3a8b3dcde44b81c0e69cc2a8a36e844.exe,sobig,5.2,134,23,5,9,3,2,3,1,0,1,1,2,4,0,2,0,1,6
157,cuckoo-w7-opened,d3a8b3dcde44b81c0e69cc2a8a36e844,worm_win32_sobig_e_mm-88-win32_exe-undefined-d3a8b3dcde44b81c0e69cc2a8a36e844.exe,sobig,3.4,134,22,0,4,3,1,2,0,0,1,1,2,4,0,2,0,1,6
